codigo,nombre,centro,almacen,libre,inspeccion,bloqueado,traslado,total
C58000056413,PP COPOLIMERO BD MFR 20,RH01,4000.0,325267876.0,0.0,0.0,0.0,325267876.0
C58000056403,PP COPOLIMERO BD Y TP MFR 17,RH01,4000.0,245406894.0,25000.0,0.0,0.0,245431894.0
C55000017214,HDPE INJ MFR 5.0 - 7.0 ET,RH01,4000.0,160142392.0,0.0,0.0,0.0,160142392.0
C58000056560,RPP COPO MFR 10- 15 BLACK,RH01,4000.0,56088735.0,0.0,0.0,0.0,56088735.0
C35000555700,5 G-10 L BLACK GRIP VIRGIN RM,RH01,4000.0,10734470.0,0.0,0.0,0.0,10734470.0
C35037000606,GA WIRE BARS 3.7 X 606 MM,RH01,4000.0,8781540.0,0.0,0.0,0.0,8781540.0
C38000063700,SELLO SEG PLAST ROJ ANCLA,RH01,4000.0,4900000.0,0.0,0.0,0.0,4900000.0
C55000017250,HDPE BLOW MFR 0.35 HHM5502BN MARLEX,RH01,4000.0,4435066.0,0.0,0.0,0.0,4435066.0
C51000054902,GI CLAMPS DIN 6644 (T-40),RH01,4000.0,4029450.0,0.0,0.0,0.0,4029450.0
C41000522602,05G DR EPDM BLCK ESP GASKET FDA,RH01,4000.0,3920360.0,0.0,0.0,0.0,3920360.0
C41000522603,05G D7 EPDM BLCK ESP GASKET FDA,RH01,4000.0,3362420.0,0.0,0.0,0.0,3362420.0
N65009010420,ADITIVO ELAST PP VISTAMAXX 6202 EXXON,RH01,4000.0,3312753.0,0.0,0.0,0.0,3312753.0
C35000512004,5 G ASA MET # 9 PIG TAIL W/BLACK GRIP,RH01,4000.0,2150400.0,0.0,0.0,0.0,2150400.0
C36005000000,PRESS IN PLUG PP 51 MM,RH01,4000.0,2122770.0,0.0,0.0,0.0,2122770.0
W73001TA6003,IML 01G R1 WH 50LIW 4C PASTA F-15 25TAJ,RH01,4000.0,2033890.0,0.0,0.0,0.0,2033890.0
C36051000000,"SPOUT 60,7MM PE WELD FLOW WHI",RH01,4000.0,2025910.0,0.0,0.0,0.0,2025910.0
C35000512006,5 G BUTTON HEAD HANDLE W/BLACK GRIP,RH01,4000.0,1845990.0,0.0,111782.0,0.0,1957772.0
C35037000649,GA WIRE BARS 3.7 X 649 MM,RH01,4000.0,1869140.0,0.0,0.0,0.0,1869140.0
C36052300000,"SPOUT 60,7MM PP WELD FLOW BLU D15 VENT",RH01,4000.0,1855200.0,0.0,1644.0,0.0,1856844.0
762001100000,TUE HEX CTE CTE ZN M10-1.5,RH01,4000.0,1748740.0,0.0,0.0,0.0,1748740.0
C31000025213,"PLUG 2"" CR6 PLATED BLACK GASK (BUNA)",RH01,4000.0,1717970.0,0.0,0.0,0.0,1717970.0
C31000025211,"FLANGE 2"" CR6 PLATED BLACK GASK (BUNA)",RH01,4000.0,1667360.0,0.0,0.0,0.0,1667360.0
C38000063712,SELLO SEG PLAST AMA ANCLA,RH01,4000.0,1560000.0,0.0,0.0,0.0,1560000.0
C31000025203,"PLUG 3/4"" CR6 PLATED BLACK GASK (BUNA)",RH01,4000.0,1508350.0,0.0,0.0,0.0,1508350.0
Q63020114000,M BATCH BLA CM-0201 ETM-017,RH01,4000.0,1494633.0,0.0,0.0,0.0,1494633.0
N25009015709,SEP PP CORR SHE UV 1597X119X2.9MM 500GR/,RH01,4000.0,1416130.0,0.0,0.0,0.0,1416130.0
C31000025201,"FLANGE 3/4"" CR6 PLATED BLACK GASK (BUNA)",RH01,4000.0,1413330.0,0.0,0.0,0.0,1413330.0
W73001PUF003,IML 01G M3 WH 50LIH 5C MARRON S/LO 18PUR,RH01,4000.0,1347500.0,0.0,0.0,0.0,1347500.0
C41005522603,55G ST EPDM BLCK ESP GASKET FDA,RH01,4000.0,1331040.0,0.0,0.0,0.0,1331040.0
54209X175000,PER HEX CTE 5.8 CTE ZN M10-1.5 X 114 T84,RH01,4000.0,1285980.0,0.0,0.0,0.0,1285980.0
W73020EXN005,IML 20L PG WH 70ELR 6C MODER 15W40 25EXX,RH01,4000.0,1200000.0,0.0,0.0,0.0,1200000.0
W73004PX2005,IML 04G P3 WH 70ELR 5C CADINA AC 21PAR,RH01,4000.0,1010180.0,0.0,0.0,0.0,1010180.0
C41005522602,55G NI EPDM BLCK ESP GASKET FDA,RH01,4000.0,942100.0,0.0,0.0,0.0,942100.0
C38000063706,SELLO SEG PLAST NEG ANCLA,RH01,4000.0,900000.0,0.0,0.0,0.0,900000.0
C52000GI0001,"CAP SEAL 3/4"" WI9016 N/PRINT",RH01,4000.0,864900.0,0.0,0.0,0.0,864900.0
W73001ME4012,IML 01G M3 WH 50LIH 4C MERMELA MEL 22MEL,RH01,4000.0,863220.0,0.0,0.0,0.0,863220.0
0689X0381010,GOL PL ZN 3/8 CALIB(10.5MMx20.8MMx1.0MM),RH01,4000.0,744500.0,0.0,0.0,0.0,744500.0
C35000312000,10 L ASA MET #10 PIG TAIL W/BLACK GRIP,RH01,4000.0,714570.0,0.0,3370.0,0.0,717940.0
